"시군구명","시간대","분류","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"창원시 의창구","23","레포츠/문화/취미","59883 ","416301878 ","20240101","20241231"
"창원시 의창구","23","서비스","6361 ","28738280 ","20240101","20241231"
"창원시 의창구","23","식생활","162632 ","7691728794 ","20240101","20241231"
"창원시 의창구","23","여행","1227 ","56473612 ","20240101","20241231"
"창원시 의창구","23","유통","416258 ","3269935586 ","20240101","20241231"
"창원시 의창구","23","유흥","30870 ","3023133804 ","20240101","20241231"
"창원시 의창구","23","의료/미용","1652 ","184525223 ","20240101","20241231"
"창원시 의창구","23","자동차","6347 ","138008053 ","20240101","20241231"
"창원시 성산구","0","교육","164 ","24289513 ","20240101","20241231"
"창원시 성산구","0","내구재","82 ","179575 ","20240101","20241231"
"창원시 성산구","0","레포츠/문화/취미","86628 ","784998218 ","20240101","20241231"
"창원시 성산구","0","서비스","23530 ","91159767 ","20240101","20241231"
"창원시 성산구","0","식생활","215079 ","9797691234 ","20240101","20241231"
"창원시 성산구","0","여행","1912 ","110553002 ","20240101","20241231"
"창원시 성산구","0","유통","414517 ","3090343592 ","20240101","20241231"
"창원시 성산구","0","유흥","48602 ","5014433036 ","20240101","20241231"
"창원시 성산구","0","의료/미용","1241 ","138357368 ","20240101","20241231"
"창원시 성산구","0","자동차","21926 ","819593427 ","20240101","20241231"
"창원시 성산구","1","내구재","130 ","212474 ","20240101","20241231"
"창원시 성산구","1","레포츠/문화/취미","57347 ","492154010 ","20240101","20241231"
"창원시 성산구","1","서비스","17944 ","71243317 ","20240101","20241231"
"창원시 성산구","1","식생활","133941 ","6037506594 ","20240101","20241231"
"창원시 성산구","1","여행","1926 ","101686223 ","20240101","20241231"
"창원시 성산구","1","유통","268629 ","2024166278 ","20240101","20241231"
"창원시 성산구","1","유흥","40836 ","4061795593 ","20240101","20241231"
"창원시 성산구","1","의료/미용","727 ","56546539 ","20240101","20241231"
"창원시 성산구","1","자동차","10850 ","534328355 ","20240101","20241231"
"창원시 성산구","2","교육","21 ","6442769 ","20240101","20241231"
"창원시 성산구","2","레포츠/문화/취미","37204 ","294395613 ","20240101","20241231"
"창원시 성산구","2","서비스","10884 ","39666895 ","20240101","20241231"
"창원시 성산구","2","식생활","85723 ","3822416073 ","20240101","20241231"
"창원시 성산구","2","여행","1761 ","94033585 ","20240101","20241231"
"창원시 성산구","2","유통","198293 ","1523729267 ","20240101","20241231"
"창원시 성산구","2","유흥","29404 ","3042282385 ","20240101","20241231"
"창원시 성산구","2","의료/미용","329 ","55585058 ","20240101","20241231"
"창원시 성산구","2","자동차","4688 ","244967066 ","20240101","20241231"
"창원시 성산구","3","레포츠/문화/취미","23167 ","177641535 ","20240101","20241231"
"창원시 성산구","3","서비스","5929 ","22535298 ","20240101","20241231"
"창원시 성산구","3","식생활","56237 ","2509766552 ","20240101","20241231"
"창원시 성산구","3","여행","1953 ","114407128 ","20240101","20241231"
"창원시 성산구","3","유통","124544 ","914661412 ","20240101","20241231"
"창원시 성산구","3","유흥","18396 ","2180276758 ","20240101","20241231"
"창원시 성산구","3","의료/미용","336 ","28873619 ","20240101","20241231"
"창원시 성산구","3","자동차","3639 ","227483139 ","20240101","20241231"
"창원시 성산구","4","내구재","55 ","54832 ","20240101","20241231"
"창원시 성산구","4","레포츠/문화/취미","13804 ","116041124 ","20240101","20241231"
"창원시 성산구","4","서비스","2673 ","11455792 ","20240101","20241231"
"창원시 성산구","4","식생활","38060 ","1751895045 ","20240101","20241231"
"창원시 성산구","4","여행","1693 ","93591501 ","20240101","20241231"
"창원시 성산구","4","유통","96888 ","731591570 ","20240101","20241231"
"창원시 성산구","4","유흥","11474 ","1393439411 ","20240101","20241231"
"창원시 성산구","4","의료/미용","240 ","11152159 ","20240101","20241231"
"창원시 성산구","4","자동차","5051 ","367460350 ","20240101","20241231"
"창원시 성산구","5","레포츠/문화/취미","7286 ","60142563 ","20240101","20241231"
"창원시 성산구","5","서비스","1528 ","6625086 ","20240101","20241231"
"창원시 성산구","5","식생활","26402 ","1092180144 ","20240101","20241231"
"창원시 성산구","5","여행","980 ","55277587 ","20240101","20241231"
"창원시 성산구","5","유통","147766 ","1099305956 ","20240101","20241231"
"창원시 성산구","5","유흥","6402 ","770099040 ","20240101","20241231"
"창원시 성산구","5","의료/미용","658 ","28895819 ","20240101","20241231"
"창원시 성산구","5","자동차","15990 ","1134037937 ","20240101","20241231"
"창원시 성산구","6","교육","21 ","47978 ","20240101","20241231"
"창원시 성산구","6","기타","27 ","6840302 ","20240101","20241231"
"창원시 성산구","6","내구재","21 ","1439 ","20240101","20241231"
"창원시 성산구","6","레포츠/문화/취미","3365 ","20864976 ","20240101","20241231"
"창원시 성산구","6","서비스","829 ","3801919 ","20240101","20241231"
"창원시 성산구","6","식생활","26463 ","738971289 ","20240101","20241231"
