"시군구명","연월","분류","성별","연령대","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"고성군","202401","기타","여성","40대","21","342700","20240101","20241231"
"고성군","202401","기타","여성","50대","21","308430","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","20대","5860","38450308","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","20대미만","987","3193968","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","30대","1556","14251542","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","40대","1775","56589102","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","50대","1234","143456477","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","60대","576","85834818","20240101","20241231"
"고성군","202401","레포츠/문화/취미","남성","70대이상","48","3152844","20240101","20241231"
"고성군","202401","레포츠/문화/취미","여성","20대","178","898561","20240101","20241231"
"고성군","202401","레포츠/문화/취미","여성","30대","877","8528444","20240101","20241231"
"고성군","202401","레포츠/문화/취미","여성","40대","514","6710761","20240101","20241231"
"고성군","202401","레포츠/문화/취미","여성","50대","226","20933516","20240101","20241231"
"고성군","202401","레포츠/문화/취미","여성","60대","41","9725840","20240101","20241231"
"고성군","202401","레포츠/문화/취미","여성","70대이상","130","544894","20240101","20241231"
"고성군","202401","서비스","남성","40대","48","222324","20240101","20241231"
"고성군","202401","서비스","남성","50대","21","193283","20240101","20241231"
"고성군","202401","식생활","남성","20대","11008","169664558","20240101","20241231"
"고성군","202401","식생활","남성","20대미만","521","3680603","20240101","20241231"
"고성군","202401","식생활","남성","30대","9904","161381528","20240101","20241231"
"고성군","202401","식생활","남성","40대","18204","415316621","20240101","20241231"
"고성군","202401","식생활","남성","50대","17046","426170123","20240101","20241231"
"고성군","202401","식생활","남성","60대","7402","195469459","20240101","20241231"
"고성군","202401","식생활","남성","70대이상","925","29685812","20240101","20241231"
"고성군","202401","식생활","여성","20대","1707","27023907","20240101","20241231"
"고성군","202401","식생활","여성","20대미만","21","72653","20240101","20241231"
"고성군","202401","식생활","여성","30대","4188","63149760","20240101","20241231"
"고성군","202401","식생활","여성","40대","8273","154002193","20240101","20241231"
"고성군","202401","식생활","여성","50대","6080","153183173","20240101","20241231"
"고성군","202401","식생활","여성","60대","3139","72473064","20240101","20241231"
"고성군","202401","식생활","여성","70대이상","363","18096779","20240101","20241231"
"고성군","202401","여행","남성","20대","89","1727896","20240101","20241231"
"고성군","202401","여행","남성","30대","55","733379","20240101","20241231"
"고성군","202401","여행","남성","40대","199","3952022","20240101","20241231"
"고성군","202401","여행","남성","50대","302","7286498","20240101","20241231"
"고성군","202401","여행","남성","60대","178","4472241","20240101","20241231"
"고성군","202401","여행","여성","40대","123","1043866","20240101","20241231"
"고성군","202401","여행","여성","50대","199","3546950","20240101","20241231"
"고성군","202401","여행","여성","60대","62","408499","20240101","20241231"
"고성군","202401","유통","남성","20대","17738","146128239","20240101","20241231"
"고성군","202401","유통","남성","20대미만","1124","5674503","20240101","20241231"
"고성군","202401","유통","남성","30대","11686","123403907","20240101","20241231"
"고성군","202401","유통","남성","40대","23482","304907745","20240101","20241231"
"고성군","202401","유통","남성","50대","19130","298117204","20240101","20241231"
"고성군","202401","유통","남성","60대","4743","92592324","20240101","20241231"
"고성군","202401","유통","남성","70대이상","466","17371830","20240101","20241231"
"고성군","202401","유통","여성","20대","2138","20684716","20240101","20241231"
"고성군","202401","유통","여성","20대미만","62","300206","20240101","20241231"
"고성군","202401","유통","여성","30대","3276","46444551","20240101","20241231"
"고성군","202401","유통","여성","40대","7738","135773201","20240101","20241231"
"고성군","202401","유통","여성","50대","5990","125728924","20240101","20241231"
"고성군","202401","유통","여성","60대","3029","72800206","20240101","20241231"
"고성군","202401","유통","여성","70대이상","336","9676833","20240101","20241231"
"고성군","202401","유흥","남성","20대","706","3094585","20240101","20241231"
"고성군","202401","유흥","남성","30대","21","51405","20240101","20241231"
"고성군","202401","유흥","남성","50대","96","16895134","20240101","20241231"
"고성군","202401","유흥","여성","20대","89","308430","20240101","20241231"
"고성군","202401","유흥","여성","40대","62","1603838","20240101","20241231"
"고성군","202401","의료/미용","남성","20대","1323","30700583","20240101","20241231"
"고성군","202401","의료/미용","남성","20대미만","69","1290610","20240101","20241231"
"고성군","202401","의료/미용","남성","30대","1056","18535778","20240101","20241231"
"고성군","202401","의료/미용","남성","40대","3941","97927347","20240101","20241231"
"고성군","202401","의료/미용","남성","50대","2899","79068677","20240101","20241231"
"고성군","202401","의료/미용","남성","60대","2084","55890315","20240101","20241231"
"고성군","202401","의료/미용","남성","70대이상","747","25687457","20240101","20241231"
"고성군","202401","의료/미용","여성","20대","41","1347498","20240101","20241231"
"고성군","202401","의료/미용","여성","30대","514","6601234","20240101","20241231"
"고성군","202401","의료/미용","여성","40대","2015","57306374","20240101","20241231"
"고성군","202401","의료/미용","여성","50대","1364","51050788","20240101","20241231"
"고성군","202401","의료/미용","여성","60대","1508","53945168","20240101","20241231"
"고성군","202401","의료/미용","여성","70대이상","206","3428376","20240101","20241231"
"고성군","202401","자동차","남성","20대","4010","171154448","20240101","20241231"
"고성군","202401","자동차","남성","30대","8828","521500356","20240101","20241231"
"고성군","202401","자동차","남성","40대","18965","1166558437","20240101","20241231"
"고성군","202401","자동차","남성","50대","16285","1058726107","20240101","20241231"
"고성군","202401","자동차","남성","60대","9808","718589979","20240101","20241231"
"고성군","202401","자동차","남성","70대이상","1049","68957128","20240101","20241231"
"고성군","202401","자동차","여성","20대","521","23964188","20240101","20241231"
"고성군","202401","자동차","여성","30대","2618","119727485","20240101","20241231"
"고성군","202401","자동차","여성","40대","5846","338958807","20240101","20241231"
"고성군","202401","자동차","여성","50대","4263","238607409","20240101","20241231"
"고성군","202401","자동차","여성","60대","1953","148563550","20240101","20241231"
"고성군","202401","자동차","여성","70대이상","158","7775524","20240101","20241231"
"고성군","202401","주거생활","남성","40대","41","1617204","20240101","20241231"
"고성군","202401","주거생활","남성","50대","110","6196984","20240101","20241231"
"고성군","202401","주거생활","남성","60대","315","23036875","20240101","20241231"
"고성군","202401","주거생활","여성","50대","21","640850","20240101","20241231"
"김해시","202401","교육","남성","20대","2988","58280260","20240101","20241231"
"김해시","202401","교육","남성","20대미만","404","3272104","20240101","20241231"
"김해시","202401","교육","남성","30대","5517","129095065","20240101","20241231"
"김해시","202401","교육","남성","40대","13482","1239374092","20240101","20241231"
"김해시","202401","교육","남성","50대","1748","221742241","20240101","20241231"
"김해시","202401","교육","남성","60대","137","1460932","20240101","20241231"
"김해시","202401","교육","여성","20대","3393","37916861","20240101","20241231"
"김해시","202401","교육","여성","20대미만","740","4697053","20240101","20241231"
"김해시","202401","교육","여성","30대","9239","229063879","20240101","20241231"
"김해시","202401","교육","여성","40대","15093","1256003310","20240101","20241231"
"김해시","202401","교육","여성","50대","870","72550240","20240101","20241231"
"김해시","202401","교육","여성","60대","206","2037697","20240101","20241231"
"김해시","202401","교육","여성","70대이상","48","13224812","20240101","20241231"
"김해시","202401","기타","남성","20대","2310","50950103","20240101","20241231"
"김해시","202401","기타","남성","20대미만","21","17135","20240101","20241231"
"김해시","202401","기타","남성","30대","7903","275096779","20240101","20241231"
"김해시","202401","기타","남성","40대","11707","369426134","20240101","20241231"
"김해시","202401","기타","남성","50대","10226","438873263","20240101","20241231"
"김해시","202401","기타","남성","60대","5291","183353598","20240101","20241231"
"김해시","202401","기타","남성","70대이상","651","18628581","20240101","20241231"
"김해시","202401","기타","여성","20대","1199","79017752","20240101","20241231"
"김해시","202401","기타","여성","20대미만","34","195339","20240101","20241231"
"김해시","202401","기타","여성","30대","6052","797533585","20240101","20241231"
"김해시","202401","기타","여성","40대","5703","310442714","20240101","20241231"
"김해시","202401","기타","여성","50대","4476","134328170","20240101","20241231"
